30/01/2019 22:16:48:1648 | notauth:: | Debug | Framework.Security.ByPassActiveDirectoryMembershipProvider | DESKTOP-86F2EMS | 10 | 00:01:43.0456 | ProvidersHelper.InstantiateProvider => ByPassAuthentication.Initialize => NLogLogger.Debug | Inicializando una instancia de ByPassAuthentication |  | !
30/01/2019 22:16:51:1651 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 10 | 00:01:46.0307 | <no type>.lambda_method => CuentaController.Ingresar => LogAuditoria.Write | El usuario jpordonez, ingresa por defecto con el codigo de rol Administrador |  | !
30/01/2019 22:16:51:1651 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 10 | 00:01:46.0758 | CuentaController.Ingresar => CuentaController.AutentificarUsuario => LogAuditoria.Write | El usuario jpordonez, ingresa de forma exitosa al sistema |  | !
30/01/2019 22:16:52:1652 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 15 | 00:01:47.0243 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Inicio]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [1] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 10 | 00:01:52.0138 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [UniversidadUsuario]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 10 | 00:01:52.0138 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Get]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 12 | 00:01:52.0138 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Programa]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 12 | 00:01:52.0146 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Get]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 14 | 00:01:52.0146 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [OfertaPrograma]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 14 | 00:01:52.0146 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Get]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
30/01/2019 22:16:57:1657 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 16 | 00:01:52.0146 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [OfertaPrograma]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
