27/04/2018 16:51:18:5118 | notauth:: | Debug | Framework.Security.ByPassActiveDirectoryMembershipProvider | DESKTOP-PLNEB83 | 5 | 00:03:41.0102 | ProvidersHelper.InstantiateProvider => ByPassAuthentication.Initialize => NLogLogger.Debug | Inicializando una instancia de ByPassAuthentication |  | !
27/04/2018 16:51:48:5148 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-PLNEB83 | 5 | 00:04:11.0377 | <no type>.lambda_method => CuentaController.Ingresar => LogAuditoria.Write | El usuario jpordonez, ingresa por defecto con el codigo de rol Administrador |  | !
27/04/2018 16:51:54:5154 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-PLNEB83 | 5 | 00:04:17.0065 | CuentaController.Ingresar => CuentaController.AutentificarUsuario => LogAuditoria.Write | El usuario jpordonez, ingresa de forma exitosa al sistema |  | !
27/04/2018 16:51:58:5158 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 11 | 00:04:21.0325 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Inicio]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [1] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 10 | 00:04:38.0787 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Centro]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 11 | 00:04:38.0787 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [OfertaPrograma]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 11 | 00:04:38.0800 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Index]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 10 | 00:04:38.0787 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Get]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 13 | 00:04:38.0800 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [OfertaPrograma]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 6 | 00:04:38.0800 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Programa]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
27/04/2018 16:52:15:5215 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-PLNEB83 | 5 | 00:04:38.0826 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [UniversidadUsuario]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
